Block,Plot,Position,Plant,Chemotype,highest_shoot_cm,number_shoots,no_shoots_with_flowerbuds,no_shoots_with_flowerbuds_Rsa,no_leaves,Date,Person
4,6,3,14_002_B,Myrox,70.4,5,0,0,77,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,6,4,06_026_B,Keto,78.2,7,0,0,72,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,6,5,24_019_B,BThu,69.6,5,8,8,56,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,7,1,29_153_A,ABThu,106.2,4,4,1,48,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,7,2,09_044_A,ABThu,70.8,4,2,2,84,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,7,3,26_173_A,ABThu,58.2,3,0,0,51,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,7,4,17_064_A,ABThu,46,6,0,0,60,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,7,5,26_172_A,ABThu,64.2,3,0,1,44,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,8,1,18_045_B,Myrox,50.4,4,1,1,61,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,8,2,29_023_B,Keto,75,5,0,0,82,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,8,3,08_023_B,BThu,87.8,6,0,0,124,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,8,4,17_064_B,ABThu,58.4,9,0,0,86,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,8,5,22_100_B,Aacet,70.4,6,0,0,51,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,9,1,23_037_A,Aacet,61.4,4,0,0,69,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,9,2,22_019_A,Aacet,71,3,0,0,49,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,9,3,07_016_A,Aacet,87.6,5,0,0,129,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,9,4,16_043_A,Aacet,85.4,6,0,1,113,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,9,5,22_100_A,Aacet,79.2,6,3,3,53,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,10,1,23_037_B,Aacet,67.8,6,0,0,52,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,10,2,22_022_B,Myrox,92.4,9,0,0,113,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,10,3,30_011_B,Keto,82.2,4,0,0,97,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,10,4,16_002_B,BThu,89,5,22,17,132,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,10,5,26_172_B,ABThu,75.2,3,4,1,51,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,1,1,26_193_A,ABThu,65.8,4,0,0,79,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,1,2,29_155_A,ABThu,78.4,5,5,1,84,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,1,3,17_071_A,ABThu,68.4,4,0,0,50,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,1,4,09_032_A,ABThu,73.8,7,0,0,119,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,1,5,29_157_A,ABThu,80.4,6,6,6,109,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,2,1,23_044_B,Aacet,81.8,3,1,1,40,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,2,2,29_155_B,ABThu,93.4,4,8,2,105,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,2,3,07_033_B,Myrox,98.6,5,6,6,168,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,2,4,24_025_B,BThu,66,3,0,0,67,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,2,5,09_066_B,Keto,81.4,3,0,0,131,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,3,1,23_044_A,Aacet,65.4,2,0,0,32,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,3,2,07_019_A,Aacet,95.2,3,8,8,112,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,3,3,22_028_A,Aacet,74.2,7,0,0,101,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,3,4,07_021_A,Aacet,92.4,9,0,0,164,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,3,5,16_044_A,Aacet,126.4,5,11,4,144,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,4,1,30_035_B,BThu,99.6,9,4,4,90,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,4,2,30_051_B,Keto,91.4,2,2,2,56,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,4,3,17_071_B,ABThu,59.2,6,0,0,60,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,4,4,18_060_B,Myrox,49.8,2,0,0,47,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,4,5,16_044_B,Aacet,99.6,1,8,3,94,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,5,1,26_006_A,Keto,79.8,4,2,2,85,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,5,2,30_051_A,Keto,114,3,10,3,158,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,5,3,06_041_A,Keto,60.8,4,0,0,62,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,5,4,08_036_A,Keto,67.2,7,0,0,95,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,5,5,09_066_A,Keto,83.2,12,0,0,170,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,6,1,26_006_B,Keto,87.2,2,5,5,97,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,6,2,07_019_B,Aacet,87.8,5,0,0,95,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,6,3,06_016_B,BThu,78.2,10,0,0,119,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,6,4,09_032_B,ABThu,68.5,6,0,0,72,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,6,5,24_026_B,Myrox,65.4,3,0,0,115,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,7,1,30_035_A,BThu,100.2,6,6,6,97,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,7,2,23_006_A,BThu,73.2,4,2,2,53,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,7,3,06_016_A,BThu,79.2,6,0,0,97,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,7,4,24_025_A,BThu,56.8,4,0,0,72,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,7,5,16_013_A,BThu,84.8,2,6,6,98,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,8,1,26_193_B,ABThu,60.6,5,0,0,53,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,8,2,24_011_B,Myrox,53.4,2,0,0,46,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,8,3,22_028_B,Aacet,64.2,1,0,0,77,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,8,4,08_036_B,Keto,64.8,7,0,0,71,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,8,5,16_013_B,BThu,83,4,0,0,63,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,9,1,18_003_A,Myrox,64.2,3,0,0,125,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,9,2,24_011_A,Myrox,44.4,1,0,0,62,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,9,3,07_033_A,Myrox,92.8,7,13,13,261,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,9,4,18_060_A,Myrox,71.2,5,0,0,185,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,9,5,24_026_A,Myrox,69.8,10,0,0,103,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,1,18_003_B,Myrox,59.8,3,0,0,109,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,2,23_006_B,BThu,79.6,6,2,2,116,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,3,06_041_B,Keto,67.2,11,0,0,80,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,4,07_021_B,Aacet,48.6,5,0,0,82,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,5,29_157_B,ABThu,81.6,2,0,0,65,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,1,09_035_B,ABThu,84.8,9,5,4,100,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,2,24_027_B,Myrox,54.4,3,0,0,41,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,3,08_040_B,Keto,47.2,1,0,0,36,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,4,06_013_B,BThu,82.2,3,0,0,76,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,5,23_046_B,Aacet,77.4,6,3,3,72,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,1,23_046_A,Aacet,74.2,4,2,2,77,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,2,07_022_A,Aacet,79.6,5,2,2,75,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,3,16_050_A,Aacet,59.2,7,0,0,39,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,4,07_038_A,Aacet,73.2,4,5,5,88,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,5,22_029_A,Aacet,55.8,5,0,0,58,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,1,07_022_B,Aacet,88.2,10,6,1,126,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,2,17_068_B,ABThu,82,7,0,0,82,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,3,23_027_B,BThu,77.6,4,0,0,63,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,4,24_007_B,Myrox,68.6,5,0,0,51,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,5,29_044_B,Keto,58.8,11,0,0,60,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,1,07_152_A,Myrox,64.2,3,2,2,69,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,2,24_027_A,Myrox,69.2,4,0,0,71,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,3,18_081_A,Myrox,37.8,3,0,0,21,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,4,24_007_A,Myrox,83.2,5,0,0,71,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,5,14_015_A,Myrox,75.8,8,0,0,71,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,1,07_152_B,Myrox,69.8,4,0,0,118,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,2,16_050_B,Aacet,83.4,2,21,2,54,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,3,29_160_B,ABThu,76,4,0,0,69,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,4,09_077_B,Keto,73.6,3,0,1,76,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,5,08_050_B,BThu,80.4,2,0,0,36,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,1,06_040_A,Keto,70.2,4,0,0,54,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,2,26_004_A,Keto,46.4,2,0,0,31,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,3,08_040_A,Keto,65.6,1,0,1,73,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,4,09_077_A,Keto,72.8,4,4,3,93,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,5,29_044_A,Keto,59,3,0,0,42,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,1,06_040_B,Keto,70.6,3,0,0,46,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,2,24_049_B,BThu,55.8,3,0,0,64,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,3,07_038_B,Aacet,57,2,0,0,51,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,4,16_167_B,ABThu,59.2,6,3,4,42,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,5,14_015_B,Myrox,68.2,3,0,0,58,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,1,16_022_A,BThu,82.8,6,0,0,74,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,2,24_049_A,BThu,57.2,5,0,0,53,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,3,23_027_A,BThu,79.8,3,0,0,78,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,4,06_013_A,BThu,69.2,2,0,0,70,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,5,08_050_A,BThu,58.8,2,0,0,15,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,1,16_022_B,BThu,64.2,4,0,0,106,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,2,26_004_B,Keto,56.4,5,0,0,55,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,3,18_081_B,Myrox,36.8,2,0,0,26,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,4,22_029_B,Aacet,61.6,5,0,0,43,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,5,17_156_B,ABThu,58.4,4,0,0,68,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,1,09_035_A,ABThu,86.2,5,4,5,128,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,2,17_068_A,ABThu,59.8,4,0,0,79,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,3,29_160_A,ABThu,69.4,6,0,0,67,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,4,16_167_A,ABThu,76.6,4,13,13,91,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,5,17_156_A,ABThu,74.2,3,0,0,81,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
